product_id,seller_id,title,current_price,was_price,location,image_url,image_path,product_url,tags
7995025457212,7433824567356,,"₪1,600",,בית שמש,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010575_20250426203620_large.jpg?v=1745689154,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010575_20250426203620_large.jpg?v=1745689154,https://market.yad2.co.il/collections/אופניים-וקורקינטים/products/אופניים-חשמליות-2330,
7916596428860,6904931450940,,"₪1,500",,אפק,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_1pa_010692_20250131173751_large.jpg?v=1738337957,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_1pa_010692_20250131173751_large.jpg?v=1738337957,https://market.yad2.co.il/collections/אופניים-וקורקינטים/products/אופניי-כביש-18,
7963876065340,7130556694588,,"₪2,000","₪2,300",נצרת עילית / נוף הגליל,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010882_20250415172442_large.jpg?v=1744727102,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010882_20250415172442_large.jpg?v=1744727102,https://market.yad2.co.il/collections/אופניים-וקורקינטים/products/אופניים-g305fc1b8,
7956239188028,6813907877948,,"₪1,600",,ירכא,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010017_20250314093502_large.jpg?v=1743367840,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010017_20250314093502_large.jpg?v=1743367840,https://market.yad2.co.il/collections/אופניים-וקורקינטים/products/אופנים-חשמלי-20,
7994830159932,7446163193916,,"₪1,000",,ראש העין,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010527_20250426115107_large.jpg?v=1745657598,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010527_20250426115107_large.jpg?v=1745657598,https://market.yad2.co.il/collections/אופניים-וקורקינטים/products/אופניים-g54049a74,
7994800996412,7441974394940,,"₪1,200",,נתניה,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010706_20250426100355_large.jpg?v=1745651429,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010706_20250426100355_large.jpg?v=1745651429,https://market.yad2.co.il/collections/אופניים-וקורקינטים/products/אופניים-חשמליים-5716,
7975696039996,6972249669692,,"₪1,200",,כפר ורדים,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010163_20250404094907_large.jpg?v=1743749410,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010163_20250404094907_large.jpg?v=1743749410,https://market.yad2.co.il/collections/אופניים-וקורקינטים/products/אופניים-merida-xxs,
7989366194236,7432615362620,,"₪2,000",,כפר הנגיד,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010695_20250419162348_large.jpg?v=1745069207,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010695_20250419162348_large.jpg?v=1745069207,https://market.yad2.co.il/collections/אופניים-וקורקינטים/products/אופניי-כביש-colnago,
7994292699196,7022019444796,,"₪1,500",,טירת כרמל,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010383_20250425190904_large.jpg?v=1745597560,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010383_20250425190904_large.jpg?v=1745597560,https://market.yad2.co.il/collections/אופניים-וקורקינטים/products/אופניים-חשמליות-2324,
7931579859004,6911589974076,,"₪1,100","₪1,300",נצרת עילית / נוף הגליל,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010151_20250414135029_large.jpg?v=1744627854,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010151_20250414135029_large.jpg?v=1744627854,https://market.yad2.co.il/collections/אופניים-וקורקינטים/products/קוקינט-9,
7994227982396,6655252561980,,"₪1,750",,ירושלים,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010602_20250425172823_large.jpg?v=1745591361,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010602_20250425172823_large.jpg?v=1745591361,https://market.yad2.co.il/collections/אופניים-וקורקינטים/products/אופניים-gdd8953ed,
7992487772220,7440654270524,,"₪1,200","₪1,500",ירושלים,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010777_20250425171805_large.jpg?v=1745590848,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010777_20250425171805_large.jpg?v=1745590848,https://market.yad2.co.il/collections/אופניים-וקורקינטים/products/קורקינט-חשמלי-4302,
