product_id,seller_id,title,current_price,was_price,location,image_url,product_url,tags,first_seen_date,last_seen_date,closing_date,description,details_json
7840465092668,6647325294652,ספה,"₪1,800","₪2,800",ראש פינה,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010393_20241104073059_large.jpg?v=1730698297,https://market.yad2.co.il/collections/ריהוט/products/ספה-gde60f662,,2025-05-13,2025-05-13,,ספה 5 מושבים באורך 280 מעוצבת ויוקרתית מבית המותג ביתילי במצב חדש בהזדמנות נדירה עקב חוסר מקום בדירה החדשה. נקייה ויפה במצב חדש. נמצאת בקומת קרקע. יש אפשרות להובלה. עלתה 8000 ונמכרת בשליש. כל הקודם זוכה.,"{""מצב המוצר"": ""כמו חדש"", ""צבע"": ""אבן"", ""חומר"": ""בד"", ""סוג ספה"": ""ספה סטנדרטית"", ""רוחב (ס״מ)"": ""280"", ""ישוב"": ""ראש פינה"", ""קטגוריה"": ""ספה בודדת""}"
7842327199804,6868713537596,"ספה דו מושבית ש""ר גב",₪200,,פתח תקווה,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010185_20241106073824_large.jpg?v=1730871517,https://market.yad2.co.il/collections/ריהוט/products/ספה-דו-מושבית-שר-גב,,2025-05-13,2025-05-13,,,"{""מצב המוצר"": ""משומש"", ""חומר"": ""בד"", ""מספר מקומות ישיבה"": ""דו מושבי"", ""סוג ספה"": ""מודולרי"", ""ישוב"": ""פתח תקווה"", ""קטגוריה"": ""ספה בודדת""}"
7842476589116,6910967611452,ספת רביצה סלון,₪500,₪600,לוד,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010501_20241106132621_large.jpg?v=1730892442,https://market.yad2.co.il/collections/ריהוט/products/ספת-רביצה-סלון,,2025-05-13,2025-05-13,,כמו חדש ממש מטר וחצי על 1.14 רוחב,"{""מצב המוצר"": ""כמו חדש"", ""צבע"": ""אפור"", ""עומק (ס״מ)"": ""150"", ""חומר"": ""בד"", ""מספר מקומות ישיבה"": ""דו מושבי"", ""סוג ספה"": ""ספה סטנדרטית"", ""וינטג'"": ""לא"", ""רוחב (ס״מ)"": ""115"", ""ישוב"": ""לוד"", ""קטגוריה"": ""ספה בודדת""}"
7845162188860,6668684066876,סלון,"₪2,000","₪2,200",חיפה,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010370_20250416001700_large.jpg?v=1744751866,https://market.yad2.co.il/collections/ריהוט/products/סלון-2318,,2025-05-13,2025-05-13,,סלון בד אפור ח.ד.ש מתפרק ויש אפשרות גם לתוספת שזלונג שמתחבר לסלון והופך לשכיבה באיזה צד שרוצים(כלול במחיר),"{""מצב המוצר"": ""כמו חדש"", ""רוחב (ס״מ)"": ""280"", ""ישוב"": ""חיפה"", ""קטגוריה"": ""ספה בודדת""}"
7845263343676,6669989347388,ספת שזלונג,"₪1,800","₪1,900",יהוד מונוסון,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010990_20250509091710_large.jpg?v=1746771448,https://market.yad2.co.il/collections/ריהוט/products/ספת-שזלונג-317,,2025-05-13,2025-05-13,,"ספת שזלונג יפהפיה במצב מצוין! 
מידות 3 מטר על 2 מטר 
כולל 3 כריות לגב ועוד 3 כריות נוי גדולות","{""מצב המוצר"": ""כמו חדש"", ""צבע"": ""אפור"", ""גובה (ס״מ)"": ""200"", ""סוג ספה"": ""שזלונג"", ""רוחב (ס״מ)"": ""300"", ""ישוב"": ""יהוד מונוסון"", ""קטגוריה"": ""ספה בודדת""}"
7845461164092,6647060299836,ספה,₪700,₪750,ירושלים,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_1pa_010607_20241111000340_large.jpg?v=1731276230,https://market.yad2.co.il/collections/ריהוט/products/ספה-g4dfa276a,,2025-05-13,2025-05-13,,"ספה במצב חדש 
נמכר עקב מעבר לחול 
נקנה לפני כמה חודשים מאיקאה","{""מצב המוצר"": ""כמו חדש"", ""חומר"": ""בד"", ""מספר מקומות ישיבה"": ""דו מושבי"", ""סוג ספה"": ""ספה סטנדרטית"", ""ישוב"": ""ירושלים"", ""קטגוריה"": ""ספה בודדת""}"
7846474416188,7068384329788,ספה,"₪1,500","₪1,850",חיפה,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010736_20241112112346_large.jpg?v=1742820745,https://market.yad2.co.il/collections/ריהוט/products/ספה-gbb0780f2,,2025-05-13,2025-05-13,,"סלון נקנה לפני שנה נמכר עקב מעבר דירה מצב מעולה
לאחר ניקוי שבוע שעבר של המבריקן","{""מצב המוצר"": ""כמו חדש"", ""צבע"": ""חום"", ""חומר"": ""בד"", ""מספר מקומות ישיבה"": ""תלת מושבי"", ""סוג ספה"": ""מודולרי"", ""רוחב (ס״מ)"": ""240"", ""ישוב"": ""חיפה"", ""קטגוריה"": ""ספה בודדת""}"
7846504103996,6646800842812,ספה,"₪1,700","₪2,000",ראשון לציון,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010585_20241112134527_large.jpg?v=1731411943,https://market.yad2.co.il/collections/ריהוט/products/ספה-g1d743d86,,2025-05-13,2025-05-13,,ספת רביצה 3 מטר במצב חדש,"{""מצב המוצר"": ""כמו חדש"", ""צבע"": ""שחור"", ""חומר"": ""בד"", ""מספר מקומות ישיבה"": ""דו מושבי"", ""סוג ספה"": ""ספה סטנדרטית"", ""רוחב (ס״מ)"": ""3"", ""ישוב"": ""ראשון לציון"", ""קטגוריה"": ""ספה בודדת""}"
7846653952060,6895197126716,ספה זוגית,₪700,₪900,זכרון יעקב,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010582_20250507104552_large.jpg?v=1746603976,https://market.yad2.co.il/collections/ריהוט/products/ספה-smedstrop-זוגית-רחבה,,2025-05-13,2025-05-13,,"עקב מעבר לדירה מרוהטת, מוכרים את הספה שלנו. ספה בצבע אפור בהיר \ בז מדגם Smedstrop","{""מצב המוצר"": ""כמו חדש"", ""צבע"": ""בז׳"", ""עומק (ס״מ)"": ""94"", ""גובה (ס״מ)"": ""88"", ""חומר"": ""בד"", ""מספר מקומות ישיבה"": ""דו מושבי"", ""סוג ספה"": ""ספה סטנדרטית"", ""וינטג'"": ""לא"", ""רוחב (ס״מ)"": ""205"", ""ישוב"": ""זכרון יעקב"", ""קטגוריה"": ""ספה בודדת""}"
7848319123516,7116845482044,ספה נפתחת,₪600,₪800,כפר עציון,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010186_20241114093510_large.jpg?v=1731569837,https://market.yad2.co.il/collections/ריהוט/products/ספה-נפתחת-636,,2025-05-13,2025-05-13,,"ספה מהממת וייחודית של Innovation Living. יוצרה בדנמרק. בסגנון mid century.  נפתחת למיטה. צריכה לעבור ניקוי. רגל אחת נשברה קצת והודבקה. מידות: 2 מ' רוחב, 95 ס""מ עומק סגורה ו-115 ס""מ פתוחה.","{""מצב המוצר"": ""משומש"", ""צבע"": ""הדפס"", ""עומק (ס״מ)"": ""95"", ""חומר"": ""בד"", ""מספר מקומות ישיבה"": ""תלת מושבי"", ""סוג ספה"": ""נפתחת"", ""וינטג'"": ""לא"", ""רוחב (ס״מ)"": ""200"", ""ישוב"": ""כפר עציון"", ""קטגוריה"": ""ספה בודדת""}"
