title,model_details,year,agency,price,monthly_payment,link,image_path
סובארו פורסטר,Sport אוט׳ 2.5 (182 כ״ס) [2018-2022],2021 • יד 1,,"141,000 ₪",,https://www.yad2.co.il://item/57r6aftt,https://img.yad2.co.il/Pic/202505/06/1_3/o/y2_1pa_010113_20250506100232.jpeg?w=3840&h=3840&c=9
סובארו אאוטבק,2.5XS אוט׳ 2.5 (175 כ״ס),2018 • יד 2,,"80,900 ₪",,https://www.yad2.co.il://item/wr086qof,https://img.yad2.co.il/Pic/202505/09/1_1/o/y2_1pa_010371_20250509124034.jpeg?w=3840&h=3840&c=9
סובארו אימפרזה,1.6I אוט׳ 1.6 (114 כ״ס),2014 • יד 3,,"1,500 ₪",,https://www.yad2.co.il://item/gx2ob7pr,https://img.yad2.co.il/Pic/202502/28/1_1/o/y2_1pa_010740_20250228102104.jpeg?w=3840&h=3840&c=9
סובארו XV,Crosstrek PL אוט׳ 2.0 (152 כ״ס),2022 • יד 2,,"115,000 ₪",,https://www.yad2.co.il://item/dmayrss0,https://img.yad2.co.il/Pic/202504/24/1_1/o/y2_1pa_010493_20250424114623.jpeg?w=3840&h=3840&c=9
סובארו פורסטר,X אוט׳ 2.5 (182 כ״ס),2020 • יד 1,,"115,000 ₪",,https://www.yad2.co.il://item/6pg9xxvc,https://img.yad2.co.il/Pic/202505/04/1_3/o/y2_1pa_010443_20250504123141.jpeg?w=3840&h=3840&c=9
סובארו פורסטר,X אוט׳ 2.5 (182 כ״ס),2019 • יד 2,,"110,000 ₪",,https://www.yad2.co.il://item/8igs76uo,https://img.yad2.co.il/Pic/202505/03/1_3/o/y2_1pa_010796_20250503233141.jpeg?w=3840&h=3840&c=9
סובארו XV,Premium אוט׳ 1.6 (114 כ״ס) [2016-2019],2017 • יד 1,,"2,000 ₪",,https://www.yad2.co.il://item/jysmcsfj,https://img.yad2.co.il/Pic/202504/14/1_1/o/y2_1pa_010832_20250414100417.jpeg?w=3840&h=3840&c=9
סובארו פורסטר,X אוט׳ 2.0 (150 כ״ס) [2011-2016],2013 • יד 2,,"43,300 ₪",,https://www.yad2.co.il://item/seffx4bl,https://img.yad2.co.il/Pic/202504/26/1_3/o/y2_1pa_010889_20250426202645.jpeg?w=3840&h=3840&c=9
סובארו XV,Crosstyle אוט׳ 2.0 (152 כ״ס),2021 • יד 2,,"108,000 ₪",,https://www.yad2.co.il://item/ecu26d0g,https://img.yad2.co.il/Pic/202504/23/1_1/o/y2_1_02404_20250423111124.jpeg?w=3840&h=3840&c=9
סובארו XV,2.0 Eyesight אוט׳ 2.0 (156 כ״ס),2018 • יד 1,,"62,000 ₪",,https://www.yad2.co.il://item/keoxythr,https://img.yad2.co.il/Pic/202505/09/1_1/o/y2_1_01571_20250509091201.jpeg?w=3840&h=3840&c=9
סובארו פורסטר,XT אוט׳ 2.5 (230 כ״ס) [2008-2010],2010 • יד 3,,"2,000 ₪",,https://www.yad2.co.il://item/99dhmli9,https://img.yad2.co.il/Pic/202409/19/1_3/o/y2_1pa_010384_20240919172042.jpeg?w=3840&h=3840&c=9
סובארו פורסטר,Sport אוט׳ 2.5 (182 כ״ס) [2021-2025],2022 • יד 1,,"150,000 ₪",,https://www.yad2.co.il://item/2k6a37om,https://img.yad2.co.il/Pic/202504/02/1_3/o/y2_1pa_010140_20250402235750.jpeg?w=3840&h=3840&c=9
סובארו פורסטר,X אוט׳ 2.5 (182 כ״ס),2019 • יד 1,,"10,000 ₪",,https://www.yad2.co.il://item/zdp5nbbu,https://img.yad2.co.il/Pic/202504/19/1_3/o/y2_1pa_010765_20250419172824.jpeg?w=3840&h=3840&c=9
סובארו XV,2.0I אוט׳ 2.0 (150 כ״ס) [2016-2018],2016 • יד 3,,"2,000 ₪",,https://www.yad2.co.il://item/qtcamqi7,https://img.yad2.co.il/Pic/202504/19/1_1/o/y2_1pa_010042_20250419083530.jpeg?w=3840&h=3840&c=9
סובארו פורסטר,XT אוט׳ 2.0 (177 כ״ס),2004 • יד 2,,"23,000 ₪",,https://www.yad2.co.il://item/bugk5tjw,https://img.yad2.co.il/Pic/202504/19/1_3/o/y2_1pa_010540_20250419104715.jpeg?w=3840&h=3840&c=9
סובארו XV,2.0 Classic אוט׳ 2.0 (156 כ״ס),2018 • יד 1,,"11,000 ₪",,https://www.yad2.co.il://item/zyvca18a,https://img.yad2.co.il/Pic/202504/01/1_1/o/y2_1_09872_20250401113501.jpeg?w=3840&h=3840&c=9
סובארו פורסטר,Sport אוט׳ 2.5 (182 כ״ס) [2021-2025],2022 • יד 3,,"154,500 ₪",,https://www.yad2.co.il://item/erbjmrpt,https://img.yad2.co.il/Pic/202504/16/1_3/o/y2_1pa_010891_20250416162626.jpeg?w=3840&h=3840&c=9
סובארו פורסטר,2.0Z ידני 2.0 (150 כ״ס),2017 • יד 1,,"58,000 ₪",,https://www.yad2.co.il://item/5fuwlx33,https://img.yad2.co.il/Pic/202503/30/1_3/o/y2_1pa_010473_20250330122104.jpeg?w=3840&h=3840&c=9
סובארו אבולטיס/אסנט,Luxury אוט׳ 2.4 (260 כ״ס),2024 • יד 1,,"282,500 ₪",,https://www.yad2.co.il://item/yklrqaut,https://img.yad2.co.il/Pic/202504/14/1_3/o/y2_1pa_010333_20250414233035.jpeg?w=3840&h=3840&c=9
סובארו פורסטר,X אוט׳ 2.0 (158 כ״ס),2008 • יד 1,,"5,000 ₪",,https://www.yad2.co.il://item/t1h8dgb9,https://img.yad2.co.il/Pic/202503/28/1_3/o/y2_1pa_010468_20250328120658.jpeg?w=3840&h=3840&c=9
סובארו XV,1.6I אוט׳ 1.6 (114 כ״ס) [2014-2016],2015 • יד 3,,"39,000 ₪",,https://www.yad2.co.il://item/7ol4nw6l,
סובארו פורסטר,X אוט׳ 2.5 (182 כ״ס),2021 • יד 1,,"128,900 ₪",,https://www.yad2.co.il://item/6dnijvog,
סובארו B4/לגאסי,R אוט׳ סדאן 4 דל 2.0 (150 כ״ס) [2009-2012],2009 • יד 1,,"14,500 ₪",,https://www.yad2.co.il://item/w0n2nzzs,
סובארו XV,2.0I אוט׳ 2.0 (150 כ״ס) [2016-2018],2017 • יד 2,,"60,000 ₪",,https://www.yad2.co.il://item/yoi460tx,
סובארו XV,1.6I אוט׳ 1.6 (114 כ״ס) [2014-2016],2014 • יד 3,,"32,000 ₪",,https://www.yad2.co.il://item/paftj882,
סובארו XV,Crosstrek אוט׳ 2.0 (152 כ״ס),2020 • יד 1,,"99,000 ₪",,https://www.yad2.co.il://item/wc714van,
סובארו XV,2.0 Classic אוט׳ 2.0 (156 כ״ס),2018 • יד 2,,"80,000 ₪",,https://www.yad2.co.il://item/0ns11njq,
סובארו XV,Crosstrek אוט׳ 2.0 (152 כ״ס),2021 • יד 1,סמלת כמו חדש,"113,900 ₪","2,178 ₪ (60 חודשים)",https://www.yad2.co.il://item/nkbhr3hx,https://img.yad2.co.il/Pic/202504/16/1_8/o/xml_1_9955247617_20250416060417.jpg?w=3840&h=3840&c=9
סובארו אימפרזה,4X4 RXI אוט׳ סדאן 4 דל 2.0 (150 כ״ס),2009 • יד 2,טרייד אין של שמשון,"10,000 ₪",,https://www.yad2.co.il://item/xtldkk9v,https://img.yad2.co.il/Pic/202505/07/1_8/o/y2_1pa_010543_20250507164955.jpeg?w=3840&h=3840&c=9
סובארו פורסטר,X אוט׳ 2.5 (182 כ״ס),2023 • יד 1,אופרייט,"140,000 ₪",,https://www.yad2.co.il://item/mfkjyj9o,https://img.yad2.co.il/Pic/202504/02/1_3/o/y2_1pa_010552_20250402120359.jpeg?w=3840&h=3840&c=9
סובארו אימפרזה,1.6I אוט׳ 1.6 (114 כ״ס),2014 • יד 2,יניב אוטו,"24,900 ₪",,https://www.yad2.co.il://item/a30d3qjd,https://img.yad2.co.il/Pic/202504/17/1_8/o/y2_1pa_010681_20250417175411.jpeg?w=3840&h=3840&c=9
סובארו פורסטר,X אוט׳ 2.5 (182 כ״ס),2023 • יד 1,יורודרייב - מתקדמים לפרימיום,"141,000 ₪",,https://www.yad2.co.il://item/5j542hs6,https://img.yad2.co.il/Pic/202503/05/1_3/o/y2_11pa_010972_20250305102730.jpeg?w=3840&h=3840&c=9
סובארו אימפרזה,1.6I אוט׳ 1.6 (114 כ״ס),2013 • יד 2,Infinity  Cars,"4,500 ₪",,https://www.yad2.co.il://item/hqi12sop,https://img.yad2.co.il/Pic/202409/06/1_8/o/y2_4_nuojWTqfoz_20240906.jpeg?w=3840&h=3840&c=9
סובארו פורסטר,Z אוט׳ 2.5 (182 כ״ס),2023 • יד 1,אלדן,"147,000 ₪",,https://www.yad2.co.il://item/9huyaa92,https://img.yad2.co.il/Pic/202504/29/1_3/o/y2_1pa_010300_20250429151459.jpeg?w=3840&h=3840&c=9
סובארו אבולטיס/אסנט,Luxury אוט׳ 2.4 (260 כ״ס),2024 • יד 1,שמעון ברזילאי סובארו,"308,000 ₪",,https://www.yad2.co.il://item/k04yutc2,https://img.yad2.co.il/Pic/202503/27/1_3/o/y2_11pa_010341_20250327112022.jpeg?w=3840&h=3840&c=9
סובארו פורסטר,Sport אוט׳ 2.5 (182 כ״ס) [2018-2022],2019 • יד 1,סמלת כמו חדש,"124,900 ₪","2,388 ₪ (60 חודשים)",https://www.yad2.co.il://item/clzuyxz2,https://img.yad2.co.il/Pic/202505/05/1_3/o/xml_1_9954960375_20250505060542.jpg?w=3840&h=3840&c=9
סובארו פורסטר,X אוט׳ 2.5 (182 כ״ס),2021 • יד 3,מכוניות גור,"129,900 ₪",,https://www.yad2.co.il://item/1ixhb7az,https://img.yad2.co.il/Pic/202504/28/1_3/o/y2_1pa_010267_20250428134741.jpeg?w=3840&h=3840&c=9
סובארו פורסטר,X אוט׳ 2.5 (182 כ״ס),2021 • יד 2,יורודרייב - מתקדמים לפרימיום,"110,000 ₪",,https://www.yad2.co.il://item/amh169b5,https://img.yad2.co.il/Pic/202504/28/1_3/o/y2_1pa_010078_20250428113436.jpeg?w=3840&h=3840&c=9
סובארו XV,Crosstrek אוט׳ 2.0 (152 כ״ס),2019 • יד 3,שירליאל סוכנות רכב,"89,000 ₪",,https://www.yad2.co.il://item/m5dpjfyx,https://img.yad2.co.il/Pic/202502/05/1_8/o/y2_1pa_010558_20250205112134.jpeg?w=3840&h=3840&c=9
סובארו XV,1.6I אוט׳ 1.6 (114 כ״ס) [2016-2018],2016 • יד 1,בלו סקאי,"3,000 ₪",,https://www.yad2.co.il://item/ixmun1jr,https://img.yad2.co.il/Pic/202504/27/1_8/o/y2_1pa_010611_20250427165449.jpeg?w=3840&h=3840&c=9
סובארו XV,2.0 Classic אוט׳ 2.0 (156 כ״ס),2018 • יד 1,,"68,000 ₪",,https://www.yad2.co.il://item/t8q4gpph,https://img.yad2.co.il/Pic/202503/27/1_1/o/y2_1pa_010817_20250327135037.jpeg?w=3840&h=3840&c=9
סובארו אימפרזה,4X2 RX אוט׳ סדאן 4 דל 1.5 (107 כ״ס),2009 • יד 3,,"7,900 ₪",,https://www.yad2.co.il://item/6nizk2ta,https://img.yad2.co.il/Pic/202504/27/1_1/o/y2_1pa_010511_20250427021855.jpeg?w=3840&h=3840&c=9
סובארו פורסטר,X אוט׳ 2.5 (182 כ״ס),2019 • יד 2,,"86,500 ₪",,https://www.yad2.co.il://item/zhsuwpxv,https://img.yad2.co.il/Pic/202505/06/1_3/o/y2_1pa_010283_20250506203541.jpeg?w=3840&h=3840&c=9
סובארו XV,2.0 Eyesight אוט׳ 2.0 (156 כ״ס),2019 • יד 1,,"90,000 ₪",,https://www.yad2.co.il://item/b2zao6ah,
סובארו אימפרזה,LX ידני סדאן 4 דל 1.6 (95 כ״ס) [2005-2006],2006 • יד 4,,"18,000 ₪",,https://www.yad2.co.il://item/12335oaz,https://img.yad2.co.il/Pic/202505/08/1_1/o/y2_1pa_010227_20250508011441.jpeg?w=3840&h=3840&c=9
סובארו XV,2.0I אוט׳ 2.0 (150 כ״ס) [2012-2016],2015 • יד 2,,"3,000 ₪",,https://www.yad2.co.il://item/570cpygf,https://img.yad2.co.il/Pic/202504/20/1_1/o/y2_1pa_010289_20250420182708.jpeg?w=3840&h=3840&c=9
סובארו XV,Premium אוט׳ 2.0 (150 כ״ס) [2012-2016],2015 • יד 2,,"53,000 ₪",,https://www.yad2.co.il://item/3zuho7uz,https://img.yad2.co.il/Pic/202505/08/1_1/o/y2_1pa_010937_20250508122026.jpeg?w=3840&h=3840&c=9
סובארו XV,1.6I אוט׳ 1.6 (114 כ״ס) [2016-2018],2017 • יד 2,,"4,000 ₪",,https://www.yad2.co.il://item/n1mvjg9d,https://img.yad2.co.il/Pic/202505/04/1_1/o/y2_1_06108_20250504175829.jpeg?w=3840&h=3840&c=9
סובארו BRZ,Premium ידני 2.4 (230 כ״ס),2024 • יד 3,,"220,000 ₪",,https://www.yad2.co.il://item/mnsmw7r2,https://img.yad2.co.il/Pic/202504/18/1_1/o/y2_1pa_010067_20250418143750.jpeg?w=3840&h=3840&c=9
סובארו פורסטר,X אוט׳ 2.0 (150 כ״ס) [2011-2016],2013 • יד 1,,"45,000 ₪",,https://www.yad2.co.il://item/yce71w6p,https://img.yad2.co.il/Pic/202504/25/1_3/o/y2_1pa_010946_20250425092223.jpeg?w=3840&h=3840&c=9
סובארו XV,Crosstrek Special Edition אוט׳ 2.0 (152 כ״ס),2019 • יד 2,,"92,500 ₪",,https://www.yad2.co.il://item/t2932qlr,https://img.yad2.co.il/Pic/202504/20/1_1/o/y2_1pa_010563_20250420210735.jpeg?w=3840&h=3840&c=9
סובארו פורסטר,XS אוט׳ 2.5 (182 כ״ס),2021 • יד 1,,"4,500 ₪",,https://www.yad2.co.il://item/c85drurl,https://img.yad2.co.il/Pic/202504/19/1_3/o/y2_1pa_010278_20250419160356.jpeg?w=3840&h=3840&c=9
סובארו XV,Crosstrek אוט׳ 2.0 (152 כ״ס),2020 • יד 1,,"105,000 ₪",,https://www.yad2.co.il://item/956y1skv,https://img.yad2.co.il/Pic/202505/07/1_1/o/y2_1pa_010783_20250507120333.jpeg?w=3840&h=3840&c=9
סובארו אבולטיס/אסנט,Limited אוט׳ 2.4 (260 כ״ס),2022 • יד 1,,"197,000 ₪",,https://www.yad2.co.il://item/fausl8jm,https://img.yad2.co.il/Pic/202504/22/1_3/o/y2_1pa_010422_20250422210427.jpeg?w=3840&h=3840&c=9
סובארו XV,1.6I אוט׳ 1.6 (114 כ״ס) [2014-2016],2015 • יד 3,,"41,000 ₪",,https://www.yad2.co.il://item/oxz12gcs,https://img.yad2.co.il/Pic/202504/21/1_1/o/y2_1pa_010709_20250421101549.jpeg?w=3840&h=3840&c=9
סובארו B4/לגאסי,Business אוט׳ 2.0 (150 כ״ס),2011 • יד 3,,"16,700 ₪",,https://www.yad2.co.il://item/zflu1fge,
סובארו XV,Crosstrek PL אוט׳ 2.0 (152 כ״ס),2020 • יד 1,,"102,000 ₪",,https://www.yad2.co.il://item/nhgkwix3,https://img.yad2.co.il/Pic/202505/06/1_1/o/y2_1pa_010393_20250506180451.jpeg?w=3840&h=3840&c=9
סובארו אימפרזה,4X2 RX אוט׳ האצ'בק 5 דל 1.5 (107 כ״ס),2008 • יד 2,,"8,000 ₪",,https://www.yad2.co.il://item/7gbpz3ol,https://img.yad2.co.il/Pic/202504/30/1_1/o/y2_1pa_010615_20250430162759.jpeg?w=3840&h=3840&c=9
סובארו XV,Crosstyle אוט׳ 2.0 (152 כ״ס),2022 • יד 1,,"133,000 ₪",,https://www.yad2.co.il://item/7kh9blk9,https://img.yad2.co.il/Pic/202505/06/1_1/o/y2_1pa_010658_20250506133005.jpeg?w=3840&h=3840&c=9
סובארו XV,Crosstyle אוט׳ 2.0 (152 כ״ס),2021 • יד 1,,"120,000 ₪",,https://www.yad2.co.il://item/r5vyhqvw,https://img.yad2.co.il/Pic/202505/06/1_1/o/y2_5pa_010495_20250506111316.jpeg?w=3840&h=3840&c=9
סובארו אימפרזה,4X2 RX אוט׳ סדאן 4 דל 1.5 (107 כ״ס),2009 • יד 3,itzik car,"11,900 ₪",,https://www.yad2.co.il://item/1xawzebt,https://img.yad2.co.il/Pic/202412/23/1_8/o/y2_1pa_996967_20241223094617.jpeg?w=3840&h=3840&c=9
סובארו XV,1.6I אוט׳ 1.6 (114 כ״ס) [2016-2018],2016 • יד 1,בלו סקאי,"3,000 ₪",,https://www.yad2.co.il://item/ixmun1jr,https://img.yad2.co.il/Pic/202504/27/1_8/o/y2_1pa_010611_20250427165449.jpeg?w=3840&h=3840&c=9
סובארו פורסטר,XS אוט׳ 2.5 (182 כ״ס),2022 • יד 1,שמעון ברזילאי סובארו,"161,000 ₪",,https://www.yad2.co.il://item/ald5a3lb,https://img.yad2.co.il/Pic/202504/14/1_3/o/y2_1pa_010187_20250414112127.jpeg?w=3840&h=3840&c=9
סובארו פורסטר,X אוט׳ 2.5 (182 כ״ס),2023 • יד 1,אופרייט,"137,900 ₪",,https://www.yad2.co.il://item/oaknrwca,https://img.yad2.co.il/Pic/202503/28/1_3/o/xml_1_9955149135_20250328070307.jpg?w=3840&h=3840&c=9
סובארו XV,1.6I אוט׳ 1.6 (114 כ״ס) [2014-2016],2016 • יד 2,יקיר מוטורס,"42,000 ₪",,https://www.yad2.co.il://item/yvi5f2le,https://img.yad2.co.il/Pic/202505/06/1_8/o/y2_1pa_010028_20250506133049.jpeg?w=3840&h=3840&c=9
סובארו XV,Crosstyle אוט׳ 2.0 (152 כ״ס),2021 • יד 1,בלו סקאי,"97,000 ₪","1,660 ₪ (36 חודשים)",https://www.yad2.co.il://item/vv23qg5b,https://img.yad2.co.il/Pic/202504/03/1_8/o/y2_1pa_010967_20250403122912.jpeg?w=3840&h=3840&c=9
סובארו אימפרזה,1.6I אוט׳ 1.6 (114 כ״ס),2015 • יד 2,וואן קאר,"4,000 ₪",,https://www.yad2.co.il://item/3ra1zpwp,https://img.yad2.co.il/Pic/202504/18/1_8/o/y2_1pa_010862_20250418100203.jpeg?w=3840&h=3840&c=9
סובארו פורסטר,X אוט׳ 2.5 (182 כ״ס),2019 • יד 1,סמלת כמו חדש,"122,900 ₪","2,350 ₪ (60 חודשים)",https://www.yad2.co.il://item/wibnzifw,https://img.yad2.co.il/Pic/202504/01/1_3/o/xml_1_9955032650_20250401060427.jpg?w=3840&h=3840&c=9
סובארו פורסטר,X אוט׳ 2.5 (182 כ״ס),2019 • יד 2,רכב הצפון כפר יאסיף,"95,000 ₪",,https://www.yad2.co.il://item/nrgj9h7w,https://img.yad2.co.il/Pic/202503/24/1_3/o/y2_1pa_010603_20250324114514.jpeg?w=3840&h=3840&c=9
סובארו XV,Crosstrek אוט׳ 2.0 (152 כ״ס),2021 • יד 1,יורודרייב - מתקדמים לפרימיום,"97,900 ₪",,https://www.yad2.co.il://item/jengoihn,https://img.yad2.co.il/Pic/202504/22/1_8/o/y2_1pa_010697_20250422103033.jpeg?w=3840&h=3840&c=9
סובארו פורסטר,2.0Z אוט׳ 2.0 (150 כ״ס),2017 • יד 2,אוטו אדיר,"69,900 ₪",,https://www.yad2.co.il://item/5tr0t2ed,https://img.yad2.co.il/Pic/202505/04/1_3/o/y2_1pa_010271_20250504101904.jpeg?w=3840&h=3840&c=9
סובארו פורסטר,Z אוט׳ 2.5 (182 כ״ס),2023 • יד 2,סוזוקי טרייד אין,"149,000 ₪",,https://www.yad2.co.il://item/6pj4tgzc,https://img.yad2.co.il/Pic/202501/28/1_3/o/y2_1pa_010640_20250128121951.jpeg?w=3840&h=3840&c=9
סובארו פורסטר,X אוט׳ 2.0 (150 כ״ס) [2011-2016],2015 • יד 2,שמואל לוי - אוטו סיטי,"59,900 ₪",,https://www.yad2.co.il://item/p9mdbmgv,https://img.yad2.co.il/Pic/202503/24/1_3/o/y2_1pa_010941_20250324140530.jpeg?w=3840&h=3840&c=9
סובארו XV,Crosstyle אוט׳ 2.0 (152 כ״ס),2021 • יד 1,אוטו סנטר,"96,344 ₪",,https://www.yad2.co.il://item/rkqz1mye,https://img.yad2.co.il/Pic/202505/08/1_8/o/xml_1_9955294605_20250508020505.jpg?w=3840&h=3840&c=9
סובארו אימפרזה,1.6I אוט׳ 1.6 (114 כ״ס),2013 • יד 2,רועי קאר,"29,999 ₪",,https://www.yad2.co.il://item/cw6jjbnd,https://img.yad2.co.il/Pic/202504/08/1_8/o/y2_1pa_010649_20250408131702.jpeg?w=3840&h=3840&c=9
סובארו פורסטר,X אוט׳ 2.5 (182 כ״ס),2021 • יד 1,סמלת כמו חדש,"133,900 ₪","2,560 ₪ (60 חודשים)",https://www.yad2.co.il://item/ur5vvptu,https://img.yad2.co.il/Pic/202504/17/1_3/o/xml_1_9955170263_20250417060430.jpg?w=3840&h=3840&c=9
סובארו XV,1.6I אוט׳ 1.6 (114 כ״ס) [2016-2018],2017 • יד 3,שמואל לוי - אוטו סיטי,"52,900 ₪",,https://www.yad2.co.il://item/e9uh2n0f,https://img.yad2.co.il/Pic/202505/06/1_8/o/y2_1pa_010321_20250506111541.jpeg?w=3840&h=3840&c=9
סובארו פורסטר,X אוט׳ 2.5 (182 כ״ס),2022 • יד 1,סמלת כמו חדש,"7,000 ₪","2,618 ₪ (60 חודשים)",https://www.yad2.co.il://item/wfd1xl05,https://img.yad2.co.il/Pic/202504/16/1_3/o/xml_1_9955149076_20250416060444.jpg?w=3840&h=3840&c=9
סובארו אימפרזה,Style Plus אוט׳ 1.6 (114 כ״ס),2016 • יד 2,רועי קאר,"39,999 ₪",,https://www.yad2.co.il://item/tzlitk8n,https://img.yad2.co.il/Pic/202504/24/1_8/o/y2_1pa_010075_20250424142711.jpeg?w=3840&h=3840&c=9
סובארו פורסטר,X אוט׳ 2.5 (182 כ״ס),2019 • יד 1,סמלת כמו חדש,"127,900 ₪","2,446 ₪ (60 חודשים)",https://www.yad2.co.il://item/1p03f6ke,https://img.yad2.co.il/Pic/202503/11/1_3/o/xml_1_9955057321_20250311050345.jpg?w=3840&h=3840&c=9
סובארו XV,Premium אוט׳ 1.6 (114 כ״ס) [2016-2019],2016 • יד 2,,"52,000 ₪",,https://www.yad2.co.il://item/lgnioi7s,https://img.yad2.co.il/Pic/202504/28/1_1/o/y2_1pa_010897_20250428194445.jpeg?w=3840&h=3840&c=9
סובארו XV,1.6 Tokyo אוט׳ 1.6 (114 כ״ס),2015 • יד 3,,"32,750 ₪",,https://www.yad2.co.il://item/otob2nva,https://img.yad2.co.il/Pic/202504/16/1_1/o/y2_1pa_010099_20250416125620.jpeg?w=3840&h=3840&c=9
סובארו אימפרזה,4X2 RX אוט׳ 1.5 (105 כ״ס),2007 • יד 2,,"7,500 ₪",,https://www.yad2.co.il://item/4ufl28op,https://img.yad2.co.il/Pic/202505/06/1_1/o/y2_1pa_010288_20250506182356.jpeg?w=3840&h=3840&c=9
סובארו פורסטר,X אוט׳ 2.0 (150 כ״ס) [2011-2016],2013 • יד 3,,"5,000 ₪",,https://www.yad2.co.il://item/t0qebhnb,https://img.yad2.co.il/Pic/202503/17/1_3/o/y2_1pa_010919_20250317203155.jpeg?w=3840&h=3840&c=9
סובארו B4/לגאסי,Business אוט׳ 2.0 (150 כ״ס),2010 • יד 4,,"11,725 ₪",,https://www.yad2.co.il://item/i0ojbfw2,https://img.yad2.co.il/Pic/202505/04/1_1/o/y2_1pa_010491_20250504172237.jpeg?w=3840&h=3840&c=9
סובארו XV,1.6I אוט׳ 1.6 (114 כ״ס) [2014-2016],2015 • יד 2,,"45,000 ₪",,https://www.yad2.co.il://item/d3krjmj4,https://img.yad2.co.il/Pic/202504/28/1_1/o/y2_1pa_010017_20250428114855.jpeg?w=3840&h=3840&c=9
סובארו פורסטר,X אוט׳ 2.0 (150 כ״ס) [2011-2016],2014 • יד 2,,"57,000 ₪",,https://www.yad2.co.il://item/0wdezxsp,https://img.yad2.co.il/Pic/202504/18/1_3/o/y2_1pa_010553_20250418182327.jpeg?w=3840&h=3840&c=9
סובארו פורסטר,Sport אוט׳ 2.5 (182 כ״ס) [2018-2022],2020 • יד 2,,"130,000 ₪",,https://www.yad2.co.il://item/i49818xc,https://img.yad2.co.il/Pic/202505/06/1_3/o/y2_1pa_010784_20250506082647.jpeg?w=3840&h=3840&c=9
סובארו XV,1.6I אוט׳ 1.6 (114 כ״ס) [2014-2016],2015 • יד 3,,"42,000 ₪",,https://www.yad2.co.il://item/mtimvh4u,https://img.yad2.co.il/Pic/202505/03/1_1/o/y2_1pa_010042_20250503224300.jpeg?w=3840&h=3840&c=9
סובארו XV,Premium אוט׳ 2.0 (150 כ״ס) [2016-2018],2016 • יד 2,,"53,000 ₪",,https://www.yad2.co.il://item/5dpv6dkq,https://img.yad2.co.il/Pic/202412/27/1_1/o/y2_6pa_010511_20241227093541.jpeg?w=3840&h=3840&c=9
סובארו אימפרזה,TS ידני סטיישן / טורר 5 דל 1.6 (95 כ״ס),2001 • יד 4,,"11,000 ₪",,https://www.yad2.co.il://item/lt7s3eew,https://img.yad2.co.il/Pic/202501/07/1_1/o/y2_3pa_010947_20250107195234.jpeg?w=3840&h=3840&c=9
סובארו B4/לגאסי,R אוט׳ סדאן 4 דל 2.0 (150 כ״ס) [2007-2009],2008 • יד 2,,"3,500 ₪",,https://www.yad2.co.il://item/ufc4184x,https://img.yad2.co.il/Pic/202505/04/1_1/o/y2_1pa_010125_20250504001741.jpeg?w=3840&h=3840&c=9
סובארו אבולטיס/אסנט,Limited אוט׳ 2.4 (260 כ״ס),2024 • יד 2,,"267,000 ₪",,https://www.yad2.co.il://item/ye26z105,https://img.yad2.co.il/Pic/202505/05/1_3/o/y2_7pa_010963_20250505141956.jpeg?w=3840&h=3840&c=9
סובארו פורסטר,B אוט׳ 2.0 (150 כ״ס),2010 • יד 6,,"24,000 ₪",,https://www.yad2.co.il://item/nstlsrkh,https://img.yad2.co.il/Pic/202505/02/1_3/o/y2_1pa_010539_20250502173519.jpeg?w=3840&h=3840&c=9
סובארו אימפרזה,4X2 RX אוט׳ סדאן 4 דל 1.5 (107 כ״ס),2011 • יד 3,,"14,700 ₪",,https://www.yad2.co.il://item/ipvh73vh,https://img.yad2.co.il/Pic/202504/20/1_1/o/y2_1pa_010569_20250420114713.jpeg?w=3840&h=3840&c=9
סובארו פורסטר,Sport אוט׳ 2.5 (182 כ״ס) [2018-2022],2020 • יד 2,,"129,000 ₪",,https://www.yad2.co.il://item/wvqkyt5d,https://img.yad2.co.il/Pic/202504/30/1_3/o/y2_1pa_010577_20250430140908.jpeg?w=3840&h=3840&c=9
סובארו XV,2.0I אוט׳ 2.0 (150 כ״ס) [2012-2016],2016 • יד 4,,"53,000 ₪",,https://www.yad2.co.il://item/fzbzj3t7,https://img.yad2.co.il/Pic/202504/21/1_1/o/y2_1pa_010678_20250421172203.jpeg?w=3840&h=3840&c=9
סובארו פורסטר,Sport אוט׳ 2.5 (182 כ״ס) [2018-2022],2022 • יד 2,,"156,000 ₪",,https://www.yad2.co.il://item/enobdqyz,https://img.yad2.co.il/Pic/202504/27/1_3/o/y2_1pa_010131_20250427085913.jpeg?w=3840&h=3840&c=9
סובארו XV,Premium אוט׳ 2.0 (150 כ״ס) [2016-2018],2016 • יד 3,,"49,000 ₪",,https://www.yad2.co.il://item/chbnzjo6,https://img.yad2.co.il/Pic/202504/15/1_1/o/y2_1pa_010850_20250415114448.jpeg?w=3840&h=3840&c=9
סובארו קרוסטרק,Executive אוט׳ 2.0 (152 כ״ס),2024 • יד 1,,"155,000 ₪",,https://www.yad2.co.il://item/lc9u9jjw,https://img.yad2.co.il/Pic/202505/09/1_3/o/y2_1pa_010278_20250509112801.jpeg?w=3840&h=3840&c=9
