title,model_details,year,agency,price,monthly_payment,link,image_path
סובארו B4/לגאסי,Top אוט׳ 2.0 (150 כ״ס) [2009-2012],2010 • יד 2,,"23,500 ₪",,https://www.yad2.co.il://item/7reqv1tp,https://img.yad2.co.il/Pic/202504/12/1_1/o/y2_1pa_010080_20250412154005.jpeg?w=3840&h=3840&c=9
סובארו אימפרזה,4X2 RXI אוט׳ האצ'בק 5 דל 1.5 (107 כ״ס),2008 • יד 3,,"10,800 ₪",,https://www.yad2.co.il://item/civsxy34,https://img.yad2.co.il/Pic/202502/21/1_1/o/y2_1pa_010000_20250221065924.jpeg?w=3840&h=3840&c=9
סובארו B4/לגאסי,Top אוט׳ 2.0 (150 כ״ס) [2009-2012],2010 • יד 2,,"3,000 ₪",,https://www.yad2.co.il://item/x6383vaj,https://img.yad2.co.il/Pic/202503/28/1_1/o/y2_9pa_010416_20250328141359.jpeg?w=3840&h=3840&c=9
סובארו XV,1.6I אוט׳ 1.6 (114 כ״ס) [2016-2018],2017 • יד 2,,"46,000 ₪",,https://www.yad2.co.il://item/ot2a1n4x,https://img.yad2.co.il/Pic/202504/11/1_1/o/y2_1pa_010822_20250411161959.jpeg?w=3840&h=3840&c=9
סובארו פורסטר,B אוט׳ 2.0 (150 כ״ס),2008 • יד 2,,"20,000 ₪",,https://www.yad2.co.il://item/p9du1oxa,https://img.yad2.co.il/Pic/202503/26/1_3/o/y2_2pa_010353_20250326230154.jpeg?w=3840&h=3840&c=9
סובארו אאוטבק,X אוט׳ בנזין 2.5 (167 כ״ס),2013 • יד 6,,"2,000 ₪",,https://www.yad2.co.il://item/3uf0764o,https://img.yad2.co.il/Pic/202501/05/1_1/o/y2_1pa_010398_20250105142932.jpeg?w=3840&h=3840&c=9
סובארו קרוסטרק,Executive אוט׳ 2.0 (152 כ״ס),2024 • יד 1,,"155,000 ₪",,https://www.yad2.co.il://item/trgdjn0v,https://img.yad2.co.il/Pic/202504/09/1_3/o/y2_1pa_010575_20250409141207.jpeg?w=3840&h=3840&c=9
סובארו פורסטר,אוט׳ 2.0 (170 כ״ס),1999 • יד 5,,"12,000 ₪",,https://www.yad2.co.il://item/58en2ndy,https://img.yad2.co.il/Pic/202503/16/1_3/o/y2_1pa_010425_20250316151912.jpeg?w=3840&h=3840&c=9
סובארו פורסטר,X אוט׳ 2.5 (182 כ״ס),2020 • יד 1,,"129,500 ₪",,https://www.yad2.co.il://item/49r0908a,https://img.yad2.co.il/Pic/202504/06/1_3/o/y2_1pa_010111_20250406174440.jpeg?w=3840&h=3840&c=9
סובארו B4/לגאסי,Top אוט׳ 2.0 (150 כ״ס) [2009-2012],2012 • יד 2,,"14,000 ₪",,https://www.yad2.co.il://item/29t2dsye,https://img.yad2.co.il/Pic/202503/25/1_1/o/y2_1pa_010657_20250325190803.jpeg?w=3840&h=3840&c=9
סובארו אימפרזה,4X2 RX אוט׳ סדאן 4 דל 1.5 (107 כ״ס),2011 • יד 2,,"1,000 ₪",,https://www.yad2.co.il://item/97f0sxvb,https://img.yad2.co.il/Pic/202503/02/1_1/o/y2_1pa_010101_20250302000940.jpeg?w=3840&h=3840&c=9
סובארו XV,1.6I אוט׳ 1.6 (114 כ״ס) [2016-2018],2017 • יד 3,,"46,000 ₪",,https://www.yad2.co.il://item/c8iafxun,https://img.yad2.co.il/Pic/202504/09/1_1/o/y2_1pa_010882_20250409211224.jpeg?w=3840&h=3840&c=9
סובארו B4/לגאסי,Luxury אוט׳ 2.5 (167 כ״ס),2009 • יד 5,,"5,800 ₪",,https://www.yad2.co.il://item/facr0gej,https://img.yad2.co.il/Pic/202504/09/1_1/o/y2_1pa_010406_20250409200944.jpeg?w=3840&h=3840&c=9
סובארו טנדר (בראט),4X2 ידני חד קבינה 1.6 (67 כ״ס),1990 • יד 9,,"18,000 ₪",,https://www.yad2.co.il://item/rr956aqp,
סובארו פורסטר,X אוט׳ 2.0 (150 כ״ס) [2011-2016],2015 • יד 2,,"54,500 ₪",,https://www.yad2.co.il://item/wc298l1v,https://img.yad2.co.il/Pic/202504/04/1_3/o/y2_1_07810_20250404153325.jpeg?w=3840&h=3840&c=9
סובארו אימפרזה,1.6 Eyesight אוט׳ 1.6 (114 כ״ס),2015 • יד 3,,"1,500 ₪",,https://www.yad2.co.il://item/15mpx6ng,https://img.yad2.co.il/Pic/202503/11/1_1/o/y2_1pa_010156_20250311112334.jpeg?w=3840&h=3840&c=9
סובארו פורסטר,2.0I אוט׳ 2.0 (158 כ״ס),2006 • יד 3,,"12,000 ₪",,https://www.yad2.co.il://item/xpbeos50,https://img.yad2.co.il/Pic/202504/09/1_3/o/y2_1pa_010809_20250409144608.jpeg?w=3840&h=3840&c=9
סובארו טריבקה,Limited אוט׳ 3.0 (245 כ״ס),2007 • יד 5,,"20,000 ₪",,https://www.yad2.co.il://item/inlqlgqo,https://img.yad2.co.il/Pic/202501/30/1_3/o/y2_1pa_010928_20250130090814.jpeg?w=3840&h=3840&c=9
סובארו B4/לגאסי,R אוט׳ סטיישן / טורר 5 דל 2.0 (150 כ״ס) [2009-2010],2010 • יד 1,,"16,000 ₪",,https://www.yad2.co.il://item/jiv9ublm,https://img.yad2.co.il/Pic/202504/09/1_1/o/y2_1pa_010373_20250409141739.jpeg?w=3840&h=3840&c=9
סובארו XV,2.0I אוט׳ 2.0 (150 כ״ס) [2016-2018],2016 • יד 2,,"50,000 ₪",,https://www.yad2.co.il://item/uk90anah,https://img.yad2.co.il/Pic/202504/09/1_1/o/y2_1pa_010156_20250409215131.jpeg?w=3840&h=3840&c=9
סובארו פורסטר,B אוט׳ 2.0 (150 כ״ס),2012 • יד 3,,"37,000 ₪",,https://www.yad2.co.il://item/06r4rpj1,https://img.yad2.co.il/Pic/202504/05/1_3/o/y2_1pa_010219_20250405094902.jpeg?w=3840&h=3840&c=9
סובארו אימפרזה,4X2 RX אוט׳ סדאן 4 דל 1.5 (107 כ״ס),2011 • יד 3,,"14,500 ₪",,https://www.yad2.co.il://item/v2jd22uj,https://img.yad2.co.il/Pic/202503/19/1_1/o/y2_1pa_010774_20250319081055.jpeg?w=3840&h=3840&c=9
סובארו אימפרזה,GX אוט׳ סדאן 4 דל 2.0 (125 כ״ס),2004 • יד 3,,"11,300 ₪",,https://www.yad2.co.il://item/4si9r0ym,https://img.yad2.co.il/Pic/202412/25/1_1/o/y2_1pa_010371_20241225150131.jpeg?w=3840&h=3840&c=9
סובארו אימפרזה,I אוט׳ 1.6 (95 כ״ס),2006 • יד 2,,900 ₪,,https://www.yad2.co.il://item/gjy4jzfd,https://img.yad2.co.il/Pic/202504/08/1_1/o/y2_1pa_010740_20250408123729.jpeg?w=3840&h=3840&c=9
סובארו XV,1.6I אוט׳ 1.6 (114 כ״ס) [2014-2016],2015 • יד 2,,"45,000 ₪",,https://www.yad2.co.il://item/ltkq19r2,https://img.yad2.co.il/Pic/202504/08/1_1/o/y2_1pa_010681_20250408120753.jpeg?w=3840&h=3840&c=9
סובארו פורסטר,Sport אוט׳ 2.5 (182 כ״ס) [2018-2022],2020 • יד 2,,"10,000 ₪",,https://www.yad2.co.il://item/z5v70i6d,https://img.yad2.co.il/Pic/202410/27/1_3/o/y2_1_03217_20241027105533.jpeg?w=3840&h=3840&c=9
סובארו פורסטר,X אוט׳ 2.5 (182 כ״ס),2020 • יד 2,,"120,000 ₪",,https://www.yad2.co.il://item/kft4k5x7,https://img.yad2.co.il/Pic/202504/07/1_3/o/y2_1pa_010266_20250407231414.jpeg?w=3840&h=3840&c=9
סובארו פורסטר,Sport אוט׳ 2.5 (182 כ״ס) [2018-2022],2020 • יד 1,,"129,000 ₪",,https://www.yad2.co.il://item/qd3hjxzw,https://img.yad2.co.il/Pic/202503/24/1_3/o/y2_1pa_010349_20250324191330.jpeg?w=3840&h=3840&c=9
סובארו אימפרזה,LX אוט׳ סדאן 4 דל 1.6 (95 כ״ס) [2004-2006],2005 • יד 2,,"9,500 ₪",,https://www.yad2.co.il://item/yp5nmz06,https://img.yad2.co.il/Pic/202503/12/1_1/o/y2_1pa_010630_20250312181145.jpeg?w=3840&h=3840&c=9
סובארו XV,Crosstrek אוט׳ 2.0 (152 כ״ס),2019 • יד 2,,"60,000 ₪",,https://www.yad2.co.il://item/2u9h8u1e,https://img.yad2.co.il/Pic/202504/07/1_1/o/y2_1pa_010907_20250407183630.jpeg?w=3840&h=3840&c=9
סובארו אימפרזה,4X2 RX אוט׳ סדאן 4 דל 1.5 (107 כ״ס),2011 • יד 3,,"1,750 ₪",,https://www.yad2.co.il://item/hujkw82m,https://img.yad2.co.il/Pic/202412/19/1_1/o/y2_1pa_010202_20241219124429.jpeg?w=3840&h=3840&c=9
סובארו פורסטר,Sport אוט׳ 2.5 (182 כ״ס) [2018-2022],2022 • יד 2,,"168,000 ₪",,https://www.yad2.co.il://item/rnmlknlr,https://img.yad2.co.il/Pic/202411/15/1_3/o/y2_1pa_010042_20241115164352.jpeg?w=3840&h=3840&c=9
סובארו אימפרזה,4X2 RX אוט׳ האצ'בק 5 דל 1.5 (107 כ״ס),2011 • יד 4,,"13,000 ₪",,https://www.yad2.co.il://item/rueqnn1k,https://img.yad2.co.il/Pic/202504/03/1_1/o/y2_1_08817_20250403063401.jpeg?w=3840&h=3840&c=9
סובארו XV,2.0I אוט׳ 2.0 (150 כ״ס) [2012-2016],2015 • יד 2,,"6,000 ₪",,https://www.yad2.co.il://item/yhw3lbl9,https://img.yad2.co.il/Pic/202409/23/1_1/o/y2_1_03818_20240923143609.jpeg?w=3840&h=3840&c=9
סובארו XV,2.0I אוט׳ 2.0 (150 כ״ס) [2016-2018],2016 • יד 3,,"48,000 ₪",,https://www.yad2.co.il://item/tlkifka5,https://img.yad2.co.il/Pic/202503/30/1_1/o/y2_1pa_010276_20250330164555.jpeg?w=3840&h=3840&c=9
סובארו אאוטבק,"2,5 I אוט׳ 2.5 (173 כ״ס)",2007 • יד 3,,"28,000 ₪",,https://www.yad2.co.il://item/uwjsm202,https://img.yad2.co.il/Pic/202504/06/1_1/o/y2_1pa_010192_20250406121820.jpeg?w=3840&h=3840&c=9
סובארו אימפרזה,4X2 RX אוט׳ סדאן 4 דל 1.5 (107 כ״ס),2009 • יד 3,,"7,200 ₪",,https://www.yad2.co.il://item/ji3691v9,https://img.yad2.co.il/Pic/202503/31/1_1/o/y2_1pa_010674_20250331041028.jpeg?w=3840&h=3840&c=9
סובארו אימפרזה,4X4 RX אוט׳ האצ'בק 5 דל 2.0 (150 כ״ס),2010 • יד 4,,"5,010 ₪",,https://www.yad2.co.il://item/q9gpojq5,https://img.yad2.co.il/Pic/202502/06/1_1/o/y2_1pa_010742_20250206102545.jpeg?w=3840&h=3840&c=9
סובארו אימפרזה,4X2 RX אוט׳ 1.5 (105 כ״ס),2007 • יד 3,,500 ₪,,https://www.yad2.co.il://item/s1b5nvxh,https://img.yad2.co.il/Pic/202503/10/1_1/o/y2_1pa_010833_20250310182743.jpeg?w=3840&h=3840&c=9
