product_id,seller_id,title,current_price,was_price,location,image_url,product_url,tags,first_seen_date,last_seen_date,closing_date
7992478957628,7440228614204,ספה תלת מושבית,"₪1,000",,ברקת,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010707_20250423182951_large.jpg?v=1745422513,https://market.yad2.co.il/collections/ריהוט/products/ספה-תלת-מושבית-366,,2025-05-20,2025-05-25,
7992481316924,7440654204988,ספה שחורה קטנה,₪400,,ירושלים,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010796_20250423184011_large.jpg?v=1745422982,https://market.yad2.co.il/collections/ריהוט/products/ספה-שחורה-קטנה-1,,2025-05-20,2025-05-25,
7992484429884,6799612706876,ספה 3 מטר ביתית,"₪1,200",,גנות הדר,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010637_20250423184350_large.jpg?v=1745423274,https://market.yad2.co.il/collections/ריהוט/products/ספה-3-מטר-ביתית,,2025-05-20,2025-05-25,
7992490426428,6647794008124,ספה,"₪1,400",,נתניה,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010217_20250423190553_large.jpg?v=1745424710,https://market.yad2.co.il/collections/ריהוט/products/ספה-gb37e53fa,,2025-05-20,2025-05-25,
7992504713276,7259271757884,ספה KLIPPAN,₪300,₪350,קרית ביאליק,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010732_20250515150234_large.jpg?v=1747310578,https://market.yad2.co.il/collections/ריהוט/products/ספה-klippan,,2025-05-20,2025-05-25,
7992504877116,7440751558716,ספה תלת מושבית,"₪1,500","₪2,000",צפת,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010261_20250505170648_large.jpg?v=1746454155,https://market.yad2.co.il/collections/ריהוט/products/ספה-תלת-מושבית-367,,2025-05-20,2025-05-25,
7992561827900,6825920266300,ספה,₪700,,חולון,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010803_20250423210950_large.jpg?v=1745431899,https://market.yad2.co.il/collections/ריהוט/products/ספה-gd73c6c92,,2025-05-20,2025-05-25,
7992576835644,7239041679420,ספת יחיד נפתחת למיטה – איקאה,"₪1,500","₪1,699",רעננה,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010495_20250423212812_large.jpg?v=1745433087,https://market.yad2.co.il/collections/ריהוט/products/ספת-יחיד-נפתחת-למיטה-3,,2025-05-20,2025-05-25,
7992585060412,7440585588796,ספה,"₪1,000",,ירושלים,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010710_20250423180250_large.jpg?v=1745433870,https://market.yad2.co.il/collections/ריהוט/products/ספה-g7d51fe80,,2025-05-20,2025-05-25,
7992992104508,6903237115964,ספה 3 מושבים,₪200,,ראשון לציון,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010509_20250424071258_large.jpg?v=1745468055,https://market.yad2.co.il/collections/ריהוט/products/ספה-3-מושבים-131,,2025-05-20,2025-05-25,
7993042403388,7437969391676,ספה שזלונג,₪500,₪700,רמת גן,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010619_20250504141507_large.jpg?v=1746357342,https://market.yad2.co.il/collections/ריהוט/products/ספה-שזלונג-225,,2025-05-20,2025-05-25,
7993048760380,7382234693692,ספה,"₪2,000","₪2,300",חדרה,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010949_20250503190733_large.jpg?v=1746288507,https://market.yad2.co.il/collections/ריהוט/products/ספה-gd46b86a1,,2025-05-20,2025-05-25,
7993095913532,7357666099260,ספת מיטה,₪800,"₪1,000",נצרת עילית / נוף הגליל,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010530_20250430144058_large.jpg?v=1746013339,https://market.yad2.co.il/collections/ריהוט/products/ספת-מיטה-28,,2025-05-20,2025-05-25,
7993107120188,7230148378684,ספה נפתחת למיטה,"₪1,000",,אשדוד,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010855_20250424094744_large.jpg?v=1745477548,https://market.yad2.co.il/collections/ריהוט/products/ספה-נפתחת-למיטה-481,,2025-05-20,2025-05-25,
